"Phase","PlanFile","Lines","Objectives","RDCCoverage","Tests","Status"
"00-rdc-blockers","00-01-DEPLOYMENT-READINESS.md","161","—","RDC 978,786","4","In Progress"
"00-rdc-blockers","00-01-EXECUTION-SUMMARY.md","111","—","—","16","Complete"
"00-rdc-blockers","00-01-SMOKE-TEST-REPORT.md","369","—","—","20","Complete"
"00-rdc-blockers","00-01-turnos-supervisor-shift-PLAN.md","237","—","RDC 978,786,978,786,978,786","15","In Progress"
"00-rdc-blockers","00-02-CTO-MANUAL-PDF-CONVERSION.md","236","—","—","1","In Progress"
"00-rdc-blockers","00-02-lgpd-pol-and-dpia-PLAN.md","216","—","RDC 978,978,978,222,978,978,978","10","In Progress"
"00-rdc-blockers","00-02-lgpd-pol-and-dpia-SUMMARY.md","393","—","RDC 978,978,978,978,978,978","8","Complete"
"00-rdc-blockers","00-02-RT-MANUAL-EXECUTION-PLAN.md","437","—","RDC 978,978,978,978,978,978","9","In Progress"
"00-rdc-blockers","00-02-RT-MANUAL-EXECUTION-REPORT.md","294","—","RDC 978,978,978,978,978","23","Complete"
"00-rdc-blockers","00-02-RT-MANUAL-GATE-SUMMARY.md","226","—","RDC 978,978,978,978,978","16","Complete"
"00-rdc-blockers","00-02-RT-MANUAL-SGQ-CREATION.md","84","—","RDC 978,978","0","In Progress"
"00-rdc-blockers","00-03-DEPLOYMENT-READINESS.md","333","—","—","8","In Progress"
"00-rdc-blockers","00-03-EXECUTION-CHECKLIST.md","813","—","RDC 978,978,978,978,978,978","59","In Progress"
"00-rdc-blockers","00-03-lab-apoio-contracts-PLAN.md","251","—","RDC 978,978,978,978","19","In Progress"
"00-rdc-blockers","00-03-lab-apoio-contracts-SUMMARY.md","206","—","RDC 978,978,978","9","Complete"
"00-rdc-blockers","00-04-cloud-logs-day1.md","141","—","—","1","In Progress"
"00-rdc-blockers","00-04-EXECUTION-CHECKLIST.md","899","—","RDC 978,978,978,978,978","36","In Progress"
"00-rdc-blockers","00-04-EXECUTION-STATUS.md","154","—","RDC 978","3","In Progress"
"00-rdc-blockers","00-04-risks-fmea-skeleton-PLAN.md","267","—","RDC 978,978,978,978","13","In Progress"
"00-rdc-blockers","00-04-risks-fmea-skeleton-SUMMARY.md","187","—","—","4","Complete"
"00-rdc-blockers","00-CONTEXT.md","173","—","RDC 978,978,978,786,978,978,978,786","3","In Progress"
"00-rdc-blockers","CLOUD-LOGS-HEALTH-CHECK.md","306","—","RDC 978,978,978,978,978,978","11","In Progress"
"00-rdc-blockers","DEVOPS-CLOUD-LOGS-GUIDE.md","283","—","RDC 978,978","11","In Progress"
"00-rdc-blockers","PHASE0-CLOSURE-REPORT.md","255","—","RDC 978,978,978,786,978,978,978,978,786,978,978,978,978","8","Complete"
"00-rdc-blockers","PHASE0-SIGN-OFF-MEMO.md","489","—","RDC 978,978,978,978,786,978,978,978,978,978,786,978,978,978,978,978,786,978,978,978","9","In Progress"
"00-rdc-blockers","Task-1.1-COMPLETION-REPORT.md","154","—","—","2","Complete"
"00-rdc-blockers","WAVE2-EXECUTION-BRIEF.md","235","—","—","24","In Progress"
"02-construction","02-01-PLAN.md","304","—","—","29","In Progress"
"02-construction","02-01-SUMMARY.md","502","—","RDC 978,978,978,978,978,978","19","Complete"
"02-construction","02-02-HANDOFF.md","267","—","RDC 222","19","In Progress"
"02-construction","02-02-PLAN.md","139","—","—","3","In Progress"
"02-construction","02-02-SUMMARY.md","505","—","RDC 222,222,978,978","31","Complete"
"02-construction","02-02-TASK3-5-SUMMARY.md","373","—","RDC 222,222,222,222,222","12","Complete"
"02-construction","02-03-PLAN.md","116","—","—","2","In Progress"
